Department/Agency,Medium,Publication,catagory,status,year,Publication Web Address
Environment and Sustainable Resource Development,Online and Print,South Saskatchewan Regional Plan 2014-2024,environment,200,2014,"""https://www.landuse.alberta.ca/LandUse%20Documents/SSRP%20Final%20Document_2014-07.pdf"""
Agriculture and Rural Development,Online and Print,Alberta Irrigation Information: Facts and Figures for the Year 2013,economics_finnace,200,2014,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/irr7401/$file/altairriginfo2013.pdf?OpenElement"""
Agriculture and Rural Development,Print,Agriculture Facts 2014 (Revised),economics_finnace,404,2014,
Agriculture and Rural Development,Online and Print,Agriculture Statistics Factsheet 2013,economics_finnace,200,2014,"""http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/sdd12807/$FILE/ard-ag-stats-factsheet-2014.pdf"""
Agriculture and Rural Development,Print,Monthly Livestock Slaughter Summary - May 2014,economics_finnace,404,2014,
Agriculture and Rural Development,Online and Print,Economics of Sugar Beet Production in Alberta 2012 (Agdex 171/821-5),economics_finnace,200,2014,"""http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/econ14826/$FILE/econo_sugar_beet_2012.pdf"""
Municipal Affairs,Online and Print,Village of Minburn Viability Review: Initial Findings Report,government,200,2014,"""http://www.municipalaffairs.gov.ab.ca/documents/LGS/Village_of_Minburn_Initial_Findings_Report.pdf"""
Travel Alberta,Online and Print,Strategy: Our Business and Marketing Plan 2014-2017,energy_transportation,200,2014,"""http://user-hco5y0y.cld.bz/2014-2017-Travel-Alberta-Business-Strategy"""
Municipal Affairs,Online and Print,Alberta Public Library Directory [Directory of Alberta Public Libraries],government,200,2014,"""http://www.municipalaffairs.gov.ab.ca/documents/lcvss/directory_final_web_reduced.pdf"""
Agriculture and Rural Development,Online and Print,"2011 Census of Agriculture for Alberta: I.D., M.D., and County Data by Land-use Region",economics_finnace,200,2014,"""http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/agdex4091/$FILE/852-6.pdf"""
Alberta Innovates - Technology Futures,Online and Print,Alberta Innovates - Technology Futures: 2013-14 Annual Report,education_tech,200,2014,"""http://www.albertatechfutures.ca/Portals/0/documents/newsroom/publications/2014/AITF%202014%20ANNUAL%20REPORT_ELECTRONIC_FINAL_JULY.pdf"""
Alberta Innovates - Bio Solutions,Online,Alberta Innovates - Bio Solutions: 2013-14 Annual Report ,education_tech,200,2014,"""http://bio.albertainnovates.ca/media/67418/ai_bio_2013-14_annual_report_final2__web_version_.pdf"""
Innovation & Advanced Education,Online and Print,Alberta Innovation and Advanced Education: Annual Report 2013-2014,education_tech,200,2014,"""http://www.iae.alberta.ca/media/419598/iae-annual-report-2013-14.pdf"""
Innovation & Advanced Education,Online and Print,Community Adult Learning Program: 2012/2013 Report to Partners,education_tech,200,2014,"""http://iae.alberta.ca/media/413872/201213calpreport.pdf"""
Treasury Board and Finance,Online and Print,"Government of Alberta Annual Report 2013-14 - Complete Volume - June 30, 2014",economics_finnace,200,2014,"""http://www.finance.alberta.ca/publications/annual_repts/govt/ganrep14/goa-2013-14-annual-report-complete.pdf"""
Treasury Board and Finance,Online,"2013-14 Fiscal Year End [presentation by Doug Horner, President of Treasury Board and Minister of Finance]",economics_finnace,200,2014,"""http://www.finance.alberta.ca/publications/annual_repts/govt/ganrep14/goa-2013-14-annual-report-presentation.pdf"""
Treasury Board and Finance,Online,Government of Alberta Annual Report 2013-14 by the Numbers,economics_finnace,200,2014,"""http://www.finance.alberta.ca/publications/annual_repts/govt/ganrep14/goa-2013-14-annual-report-Fact-Card01.pdf#page=2 """
Justice and Solicitor General,Online and Print,Alberta Justice and Solicitor General: Annual Report 2013-14 ,law_order,200,2014,"""http://justice.alberta.ca/programs_services/about_us/Documents/JSGAnnualReport2013-2014.pdf """
Office of the Child and Youth Advocate,Online,Case for Change: Children and Youth with Complex Needs and Access to the Mental Health System ,government,403,2014,"""http://advocate.gov.ab.ca/home/documents/Summary_Rpt_2014Jul03_The_Case_for_Change.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review - June 27, 2014",economics_finnace,200,2014,"""http://finance.alberta.ca/aboutalberta/economic_bulletins/2014/2014-0627-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review - July 4, 2014  ",economics_finnace,200,2014,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2014/2014-0704-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review - July 11, 2014",economics_finnace,200,2014,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2014/2014-0711-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review - July 18, 2014  ",economics_finnace,200,2014,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2014/2014-0718-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Weekly Economic Review - July 25, 2014  ",economics_finnace,200,2014,"""http://www.finance.alberta.ca/aboutalberta/economic_bulletins/2014/2014-0725-alberta-economic-review.pdf"""
Treasury Board and Finance,Online,"Alberta Economy: Indicators at a Glance - June 27, 2014",economics_finnace,200,2014,"""http://www.finance.alberta.ca/aboutalberta/at-a-glance/2014/2014-0627-alberta-economy-indicators.pdf"""
Treasury Board and Finance,Online,"Alberta Economy: Indicators at a Glance - July 4, 2014 ",economics_finnace,200,2014,"""http://www.finance.alberta.ca/aboutalberta/at-a-glance/2014/2014-0704-alberta-economy-indicators.pdf """
Treasury Board and Finance,Online,"Alberta Economy: Indicators at a Glance - July 11, 2014",economics_finnace,200,2014,"""http://www.finance.alberta.ca/aboutalberta/at-a-glance/2014/2014-0711-alberta-economy-indicators.pdf"""
Treasury Board and Finance,Online,"Alberta Economy: Indicators at a Glance - July 18, 2014",economics_finnace,200,2014,"""http://www.finance.alberta.ca/aboutalberta/at-a-glance/2014/2014-0718-alberta-economy-indicators.pdf"""
Treasury Board and Finance,Online,"Alberta Economy: Indicators at a Glance - July 25, 2014",economics_finnace,200,2014,"""http://finance.alberta.ca/aboutalberta/at-a-glance/2014/2014-0725-alberta-economy-indicators.pdf"""
Health,Online and Print,Alberta Health: Annual Report 2013-14,health,200,2014,"""http://www.health.alberta.ca/documents/Annual-Report-14.pdf"""
"Jobs, Skills, Training & Labour",Online and Print,"Alberta Jobs, Skills, Training and Labour: Annual Report 2013-14 ",labor,200,2014,"""https://work.alberta.ca/documents/2013-2014-JSTL-annual-report.pdf"""
Office of the Auditor General,Online and Print,Report of the Auditor General of Alberta - July 2014  ,government,200,2014,"""http://www.oag.ab.ca/webfiles/reports/AGJuly2014Report.pdf"""
Office of the Auditor General,Online,Report of the Auditor General of Alberta - July 2014 (Flipbook),government,200,2014,"""http://www.oag.ab.ca/webfiles/flipbook/July2014/July-2014.html"""
"Tourism, Parks and Recreation",Online and Print,Pathway to Growth: Alberta's Tourism Framework 2013-2020,culture_people,200,2014,"""http://www.tpr.alberta.ca/tourism/albertas-tourism-framework/pdf/Tourism-Framework-full-ver.pdf"""
Alberta Human Rights Commission,Online,"Newsletter: Alberta Human Rights Information Service - June 25, 2014",law_order,200,2014,"""http://www.albertahumanrights.ab.ca/publications/AHRIS/2014/June_25.asp"""
Aboriginal Relations,Online,Long-Term Governance and Funding Arrangements ,culture_people,200,2013,"""http://www.aboriginal.alberta.ca/documents/FrameworkLongTermAgreement-Mar2013.pdf"""
Aboriginal Relations,Online and Print,First Nations Development Fund Grant Program Annual Results 2011/2012,culture_people,200,2013,"""http://www.aboriginal.alberta.ca/documents/2012-FNDF_Annual_Results.pdf"""
Aboriginal Relations,Online,Metis Settlements and First Nations in Alberta: Community Profiles ,culture_people,404,2013,"""http://www.aboriginal.alberta.ca/documents/2012_MetisSettlementProfile.pdf"""
Aboriginal Relations,Online,Aboriginal Economic Partnerships Annual Results 2011/2012,culture_people,200,2013,"""http://www.aboriginal.alberta.ca/documents/AEP_AnnualResults2011-12.pdf"""
Agricultural Development Committee,Online,Occupational Video - Mechanical Engineer,economics_finnace,200,2012,"""http://www.youtube.com/watch?v=WFRUp7lGYGo&list=UUG16_HTqfM1OvpCHuBrHiiA"""
Agriculture and Rural Development,Online and Print,Potassium fertilizer application in crop production.  Agdex 542-9,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex917/$file/542-9.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Antimicrobial spray treatment of red meat in small abattoirs.  Agdex 089/400-1,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex14341/$file/089_400-1.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Varieties of cereal and oilseed crops for Alberta.  Agdex 100/32,economics_finnace,404,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex4069/$file/100-32.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Leak detection groundwater sampling.  Agdex 096-53,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex14369/$file/096-53.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Phosphorus fertilizer application in crop production.  Agdex 542-3.,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex920/$file/542-3.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Irrigated dry bean nutrient requirements for southern Alberta.  Agdex 142/532-1,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex116/$file/142_532-1.pdf?OpenElement"""
Agriculture and Rural Development,Online and Print,Economics of sugar beet production in Alberta 2011.  Agdex 171/821-5,economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/agdex12666/$FILE/171_821-5.pdf"""
Agriculture and Rural Development,Print,Manure management record keeping regulations.  Agdex 096-3,economics_finnace,404,2013,
Agriculture and Rural Development,Print,Alberta farm imput prices: an overview of 2011-2012,economics_finnace,404,2013,
Agriculture and Rural Development,Print,Saskatoon berry production manual.  Agdex 238/20-2,economics_finnace,404,2013,
Agriculture and Rural Development,Print,"Alberta real gross domestic product (GDP) for Agri-Food Industries, 2011",economics_finnace,404,2013,
Agriculture and Rural Development,Print,"Employment in Alberta agri-food industries, 2012",economics_finnace,404,2013,
Agriculture and Rural Development,Online and Print,"Alberta crop report : crop conditions as of May 6, 2013",economics_finnace,200,2013,"""http://www1.agric.gov.ab.ca/$department/deptdocs.nsf/all/sdd14416/$file/Crop%20Report%20May_6_2013.pdf?OpenElement"""
Agriculture and Rural Development,Print,Agriculture facts 2013,economics_finnace,404,2013,
Agriculture and Rural Development,Online and Print,Board governance guidebook.,economics_finnace,200,2011,"""http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/hst13487/$FILE/guidebook-board-governance.pdf"""
Agriculture and Rural Development,Online and Print,Running effective meetings guidebook.,economics_finnace,200,2011,"""http://www1.agric.gov.ab.ca/$Department/deptdocs.nsf/all/hst13487/$FILE/guidebook-effective-meetings.pdf"""
Agriculture and Rural Development,Print,Edmonton nutritious food basket prices,economics_finnace,404,2013,
Agriculture and Rural Development,Print,Edmonton retail food prices.,economics_finnace,404,2013,
Agriculture and Rural Development,Print,Alberta farm input prices: average monthly prices for May 2013,economics_finnace,404,2013,
Alberta Conservation Association,Print,"Camera-based creel surveys of Beaver, Fiesta, and Ironside Lakes, Alberta, 2012",environment,404,2013,
Alberta Conservation Association,Print,Delegated big game surveys 2011/2012 survey season,environment,404,2013,
Alberta Conservation Association,Print,"Hay-Zama Lakes waterfowl staging and bald eagle nesting monitoring program, 2012",environment,404,2013,
Alberta Conservation Association,Print,"Summer sport fishery and the special harvest license for walleye at Iosegun and Smoke Lakes, Alberta, 2012",environment,404,2013,
Alberta Energy Regulator,Online and Print,Alternative dispute resolution program and guidelines for energy industry disputes.  Manual 004,energy_transportation,200,2013,"""http://www.aer.ca/documents/manuals/Manual004.pdf"""
Alberta Energy Regulator,Online and Print,AER Issues revised publications to reflect new legislative framework.  AER Bulletin 2013-01,energy_transportation,200,2013,"""http://www.aer.ca/documents/bulletins/AER-Bulletin-2013-01.pdf"""
Alberta Energy Regulator,Online and Print,Hearing process for the Alberta Energy Regulator.  Manual 003,energy_transportation,200,2013,"""http://www.aer.ca/documents/manuals/Manual003.pdf"""
Alberta Gaming and Liquor Commission,Online, What We Heard: Class E Liquor Licensing (Manufacturing) Review,culture_people,200,2013,"""http://aglc.ca/pdf/forms_reports_resources/ClassE-LiquorMfg-WhatWeHeard.pdf"""
Alberta Water Council,Print,Alberta Water Council annual report,environment,404,2013,
Alberta Water Council,Online and Print,"Sector planning for water conservation, efficiency and productivity",environment,200,2013,"""http://www.albertawatercouncil.ca/LinkClick.aspx?fileticket=_iYr_JXytVQ%3d&tabid=115"""
Alberta Water Council,Online and Print,Recommendations to improve non-point source pollution management in Alberta,environment,200,2013,"""http://www.albertawatercouncil.ca/LinkClick.aspx?fileticket=ff90UcqhD_o%3D&tabid=59"""
Corporate Human Resources,Online,Alberta Public Service Competency Model,culture_people,404,2013,"""http://www.chr.alberta.ca/learning/competencies/apsmodel/aps-competency-model.pdf"""
Culture,Online,Listing of Historic Resources ,culture_people,404,2013,"""http://culture.alberta.ca/heritage/resourcemanagement/landuseplanning/Pdf/SSL-Public.pdf"""
Education,Online,Alberta Accredited International Schools Handbook,education_tech,200,2013,"""http://education.alberta.ca/media/1161937/accreditation_handbook.pdf"""
Education,Online,"Education funding in Alberta: kindergarten to grade 12, 2013/2014 school year",education_tech,200,2013,"""http://www.education.alberta.ca/media/6858004/booklet2013.pdf"""
Education,Online,"Alberta Initiative for School Improvement Cycle 5 Project Summaries from Public, Separate, Private, Charter and Francophone School Authorities Zones 1-6 February 2013",education_tech,200,2013,"""http://www.education.alberta.ca/media/6875562/cycle-5-project-summaries-zones1-6-mar-2013.pdf"""
Education,Online,Consumérisme ENS1030 - Document d'appui,education_tech,200,2013,"""http://education.alberta.ca/media/6874734/ens1030.pdf"""
Education,Online,Pratiques personnelles et professionnelles COS1010 - Document d'appui,education_tech,200,2013,"""http://education.alberta.ca/media/6874738/cos1010.pdf"""
Education,Online, Planification de repas 1 FOD1040 – Document d’appui,education_tech,200,2013,"""http://education.alberta.ca/media//6877213/fod1040.pdf"""
Education,Online, Pratiques de sécurité en milieu de travail HCS3010 – Document d’appui,education_tech,200,2013,"""http://education.alberta.ca/media/6877238/hcs3010.pdf"""
Education,Online and CD-ROM,Working Together: Collaborative Practices and Partnership Toolkit,education_tech,200,2013,"""http://www.education.alberta.ca/media/6877700/working-together-toolkit.pdf"""
Education,Online,AISI Conference Report 2013,education_tech,200,2013,"""http://www.education.alberta.ca/media/6881142/conference-report-2013.pdf"""
Education,Online,Politiques et exigences à l’intention des conseils scolaires – Planification et rapports sur les résultats,education_tech,200,2013,"""http://education.alberta.ca/media/675962/guide.pdf"""
Education,Online,Provincial Dual Credit Strategy: Call To Action ,education_tech,200,2013,"""http://education.alberta.ca/media/6934695/dcstrategycallaction.pdf"""
Education,Online,Provincial Dual Credit Strategy – Frequently Asked Questions,education_tech,200,2013,"""http://education.alberta.ca/media/6934691/faqprovincialdualcreditstrategy.pdf"""
Education,Online,Stratégie provinciale de crédits à double reconnaissance – Guide à l'intention des parents et tuteurs     ,education_tech,200,2013,"""http://education.alberta.ca/media/6939552/guideparents.pdf"""
Education,Online,Stratégie provinciale de crédits à double reconnaissance  - Guide à l’intention des élèves,education_tech,200,2013,"""http://education.alberta.ca/media/6939545/guideeleves.pdf"""
Education,Online,FAQ – Student Learning Assessments,education_tech,200,2013,"""http://www.education.alberta.ca/media/6955656/faqstudentlearningassessments.pdf"""
Education,Online,Government of Alberta Department of Education Ministerial Order(#001/2013),education_tech,200,2013,"""http://www.education.alberta.ca/media/6950988/mostudentlearning.pdf"""
Education,Online,High School Flexibility Enhancement Pilot Project - A Summary Report,education_tech,200,2013,"""http://ideas.education.alberta.ca/media/78910/hsepp_report_2013final.pdf"""
Education,Online,Protocole de signalement des situations d'urgence dans les écoles,education_tech,200,2013,"""http://education.alberta.ca/media/7015548/protocoleurgence.pdf"""
Education,Online,Guide de l'éducation: Préscolaire – 12 e année 2013-2014 ,education_tech,200,2013,"""http://education.alberta.ca/media/7046073/guide1314.pdf"""
Education,Online,Guide de l’éducation Préscolaire à 12e année: Sommaire des changements clés Année scolaire 2013-2014 ,education_tech,200,2013,"""http://education.alberta.ca/media/7045550/sommaire1314.pdf"""
Education,Online,Cours du secondaire 2e cycle autorisés par le Ministère – Noms et codes numériques des cours,education_tech,200,2013,"""http://education.alberta.ca/media/6721127/nomscours12.pdf"""
Education,Online,School Board Elections Information Package 2013 Edition,education_tech,200,2013,"""http://education.alberta.ca/media/7112508/2013_school%20board%20elections%20info%20pack%20--%20without%20forms.pdf"""
Education,Online, Provincial Dual Credit Applications: Responses to Key Questions from Information Sessions and Presentations,education_tech,404,2013,"""http://www.albertadualcredit.ca/sites/default/files/pdf_files/DualCreditResponsesJune2013Final4.pdf"""
Energy,Online and Print,Going for gold in Alberta,energy_transportation,200,2013,"""http://www.energy.alberta.ca/minerals/pdfs/Going_for_Gold_in_Alberta_CMD_IF-02.pdf"""
Energy Resource Conservation Board,Online and Print,ERCB production outage.  Bulletin 2013-11,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-11.pdf"""
Energy Resource Conservation Board,Online and Print,Bernum Petroleum Ltd. applications for one facility licence and two well licences Lochend area.,energy_transportation,200,2013,"""http://www.ercb.ca/decisions/2013-ABERCB-004.pdf"""
Energy Resource Conservation Board,Online and Print,Revisions to Directive 047: waste reporting requirements for oilfield waste management facilities.  Bulletin 2013-10.,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-10.pdf"""
Energy Resource Conservation Board,Online and Print,Waste reporting requirements for oilfield waste management facilities.  Directive 047,energy_transportation,200,2013,"""http://www.ercb.ca/directives/Directive047.pdf"""
Energy Resource Conservation Board,Online and Print,ERCB production outage update.  Bulletin 2013-12,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-12.pdf"""
Energy Resource Conservation Board,Online and Print,Corrections and update to Directive 007-1: Allowables Handbook - Guidelines for the calculation of monthly production allowables in Alberta.  Bulletin 2013-13,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-13.pdf"""
Energy Resource Conservation Board,Online and Print,Allowables handbook - guidelines for the calculation of monthly production allowables in Alberta.  Directive 007-1,energy_transportation,200,2013,"""http://www.ercb.ca/directives/Directive007-1.pdf"""
Energy Resource Conservation Board,Online and Print,Butte Energy Inc. application for special oil well spacing Chigwell Field.  2013 ABERCB 005,energy_transportation,200,2013,"""http://www.ercb.ca/decisions/2013-ABERCB-005.pdf"""
Energy Resource Conservation Board,Print and Flash Drive,Ember Resources Inc. review of decisions to rescind pool order 0593 106001 2009-09-01 (the Malmo Edmonton A Pool) and issue pool order 0593 106001 2012-05-01 Malmo Field.,energy_transportation,200,2013,"""http://www.ercb.ca/decisions/2013-ABERCB-003.pdf"""
Energy Resource Conservation Board,Online and Print,ERCB production systems restored.  Bulletin 2013-14,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-14.pdf"""
Energy Resource Conservation Board,Online and Print,Secure Energy Services Inc. section 39 review of amendment D to approval WM 126 Fox Creek area.,energy_transportation,200,2013,"""http://www.ercb.ca/decisions/2013-ABERCB-006.pdf"""
Energy Resource Conservation Board,Print,Steward : 75 years of Alberta energy regulation.,energy_transportation,404,2013,
Energy Resource Conservation Board,Online and Print,Licensee liability rating (LLR) program and licence transfer process.  Directive 006,energy_transportation,200,2013,"""http://www.ercb.ca/directives/Directive006_May2013.pdf"""
Energy Resource Conservation Board,Online and Print,Licensee liability rating (LLR) program: updated industry parameters and liability costs.  Directive 011,energy_transportation,200,2013,"""http://www.ercb.ca/directives/Directive011_May2013.pdf"""
Energy Resource Conservation Board,Online and Print,Licensee liability rating (LLR) program changes and implementation plan.  Bulletin 2013-09,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-09.pdf"""
Energy Resource Conservation Board,Online and Print,Amendments to the coal conservation regulations and oil and gas conservation regulations.  Bulletin 2013-15,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-15.pdf"""
Energy Resource Conservation Board,Online and Print,2013 ERCB administration fees (industry levy)  Bulletin 2013-16,energy_transportation,404,2013,"""http://www.eub.gov.ab.ca/bulletins/Bulletin-2013-16.pdf"""
Energy Resource Conservation Board,Online and Print,"Invitation for feedback on draft revised edition of Directive 060: upstream petroleum industry flaring, incinerating, and venting requirements.  Bulletin 2013-17",energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-17.pdf"""
Energy Resource Conservation Board,Print,"Upstream petroleum industry flaring, incinerating, and venting.  Directive 060",energy_transportation,200,2013,"""http://www.ercb.ca/directives/DraftDirective060.pdf"""
Energy Resource Conservation Board,Online and Print,Alberta's energy reserves 2012 and supply/demand outlook 2013-2022.  ST98-2013,energy_transportation,200,2013,"""http://ercb.ca/sts/ST98/ST98-2013.pdf"""
Energy Resource Conservation Board,Online and Print,Decision to issue a declaration naming Timothy M. Cooney pursuant to Section 106 of the Oil and Gas Conservation Act.,energy_transportation,200,2013,"""http://www.ercb.ca/decisions/2013-ABERCB-007.pdf"""
Energy Resource Conservation Board,Online and Print,Measurement requirements for oil and gas operations.  Directive 017,energy_transportation,200,2013,"""http://www.ercb.ca/directives/Directive017.pdf"""
Energy Resource Conservation Board,Online and Print,Invitation for feedback on Draft Directive XXX: diagnostic fracture injection test submission and content requirements.  Bulletin 2013-21,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-21.pdf"""
Energy Resource Conservation Board,Online and Print,Invitation for feedback - Draft directive 023: oil sands project applications.  Bulletin 2013-20,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-20.pdf"""
Energy Resource Conservation Board,Online and Print,Shell Canada Limited applications for pipeline and facility licences Waterton Field.,energy_transportation,200,2013,"""http://www.ercb.ca/decisions/2013-ABERCB-009.pdf"""
Energy Resource Conservation Board,Online and Print,Diagnostic fracture injection test submission and content requirements.,energy_transportation,200,2013,"""http://ercb.ca/directives/DraftDirective-DiagnosticFractureInjection.pdf"""
Energy Resource Conservation Board,Online and Print,ERCB draft directive 023: oil sands project applications,energy_transportation,200,2013,"""http://www.ercb.ca/directives/DraftDirective023_20130528.pdf"""
Energy Resource Conservation Board,Online and Print,Announcing change from Energy Resources Conservation Board to Alberta Energy Regulator.  Bulletin 2013-23,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-23.pdf"""
Energy Resource Conservation Board,Online and Print,Invitation for feedback - draft well logging directive.  Bulletin 2013-24,energy_transportation,200,2013,"""http://www.ercb.ca/bulletins/Bulletin-2013-24.pdf"""
Energy Resource Conservation Board,Online and Print,Surge Energy Inc. application for special oil well spacing and a review of well licenses and compliance of production restrictions Valhalla Field,energy_transportation,200,2013,"""http://www.ercb.ca/decisions/2013-ABERCB-010.pdf"""
Energy Resource Conservation Board,Online and Print,"Interim requirements for aboveground synthetically-lined wall storage systems, updates for liner requirements, and optional diking requirements for single-walled aboveground storage tanks.",energy_transportation,200,2011,"""http://www.ercb.ca/directives/Directive055_addendum.pdf"""
Energy Resource Conservation Board,Online and Print,Well log submission requirements.  Bulletin 2013-25,energy_transportation,200,2013,"""http://www.aer.ca/documents/bulletins/Bulletin-2013-25.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Alberta College of Art and Design,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Alberta-College-of-ART-and-Design.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Athabasca University,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Athabasca.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Bow Valley College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Bow-Valley.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Grande Prairie Regional College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Grande-Prairie.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Grant MacEwan University,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Grant-Macewan.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Keyano College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Keyano.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Lakeland College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Lakeland-College.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Lethbridge College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Lethbridge-College.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Medicine Hat College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Medicine-Hat-College.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Mount Royal University,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Mount-Royal.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation NorQuest College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/NorQuest.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Northern Lakes College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Nothern-Lakes-College.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Northern Alberta Institute of Technology (NAIT),education_tech,200,2013,"""http://eae.alberta.ca/media/letters/NAIT.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Olds College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Olds-College.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Portage College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Portage-College.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Red Deer College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Red-Deer-College.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Southern Alberta Institute of Technology (SAIT),education_tech,200,2013,"""http://eae.alberta.ca/media/letters/SAIT.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation The Banff Centre,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Banff-Centre.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation University of Alberta,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/U-of-A.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation University of Calgary,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/U-of-C.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation University of Lethbridge ,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/U-of-L.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Ambrose University College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Ambrose.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Canadian University College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Canadian-University-College.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation Concordia University College of Alberta,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Concordia-University-College.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation The King’s University College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/Kings.pdf"""
Enterprise and Advanced Education,Online,Letter of Expectation St. Mary’s University College,education_tech,200,2013,"""http://eae.alberta.ca/media/letters/St-Marys.pdf"""
Enterprise and Advanced Education,Online,Alberta Oil and Gas Industry Quarterly Update Spring 2013,education_tech,200,2013,"""http://www.albertacanada.com/files/albertacanada/OilGas_QuarterlyUpdate_Spring2013.pdf"""
